aluno_id,frequencia_semanal,tipo_plano,total_checkins,recency_days
9313,3,2,7,15.0
3068,2,2,9,52.0
2773,6,3,2,59.0
2544,6,3,4,63.0
8647,3,3,8,20.0
4356,4,1,5,63.0
5754,6,1,8,8.0
7467,4,3,10,16.0
5014,2,2,0,
6219,6,2,1,172.0
4754,6,3,1,114.0
6626,5,3,1,178.0
5763,5,2,10,6.0
13,3,1,7,22.0
4689,3,3,0,
1319,4,2,1,144.0
8548,1,3,3,29.0
1603,3,2,7,9.0
9185,2,2,0,
1942,4,3,0,
7418,3,2,8,4.0
8579,2,3,1,5.0
1522,5,3,5,6.0
1967,6,3,3,8.0
3442,6,1,2,95.0
6095,2,2,10,18.0
2952,5,3,5,13.0
3755,2,2,1,0.0
1006,6,1,0,
6084,3,2,5,8.0
2742,6,2,4,67.0
8711,2,2,9,31.0
6015,3,3,1,156.0
3046,1,2,4,13.0
9492,4,2,0,
5616,3,2,3,24.0
453,6,3,9,3.0
9079,3,3,4,25.0
8613,6,2,1,146.0
9838,1,1,0,
3530,4,2,0,
9259,1,2,1,1.0
5581,3,3,7,84.0
5208,1,2,4,8.0
6716,2,2,8,11.0
528,3,2,10,45.0
9685,6,2,1,16.0
4351,3,1,10,14.0
7154,4,3,3,57.0
1549,3,3,1,0.0
3463,4,3,10,8.0
1613,6,3,5,30.0
667,5,2,10,9.0
8401,1,2,1,7.0
9771,3,2,1,42.0
4645,6,1,4,23.0
2073,5,1,3,63.0
3717,5,2,5,5.0
9890,3,3,1,23.0
4199,1,1,1,110.0
8475,5,1,7,17.0
6786,3,1,6,5.0
6581,4,2,10,7.0
3378,2,2,3,51.0
1044,3,2,4,46.0
4893,6,2,3,8.0
4967,1,3,3,99.0
3671,2,1,8,18.0
589,5,1,2,3.0
8009,5,2,8,42.0
7942,1,2,3,15.0
9623,4,2,6,14.0
6631,4,1,8,13.0
9647,5,3,0,
682,6,1,6,84.0
329,2,3,2,155.0
7691,3,2,7,6.0
44,5,3,8,0.0
8270,4,2,7,2.0
1144,4,1,1,2.0
4719,1,2,6,31.0
2150,4,3,2,54.0
2598,4,2,7,7.0
1987,3,2,10,5.0
6912,5,1,7,11.0
2951,4,3,0,
9661,4,3,4,2.0
944,3,2,9,5.0
8254,4,1,9,4.0
3035,5,1,5,97.0
6331,6,2,9,25.0
2601,5,3,10,10.0
8954,3,3,2,25.0
8416,1,2,5,25.0
4921,1,1,5,6.0
7900,5,2,9,17.0
8267,4,3,4,23.0
948,5,3,5,8.0
1540,6,1,2,10.0
2540,3,1,7,38.0
7292,3,2,0,
7184,5,2,5,29.0
3882,3,2,5,3.0
6495,5,1,10,12.0
6086,5,2,3,142.0
981,4,2,7,3.0
8118,6,1,9,21.0
6091,5,2,9,3.0
7141,3,3,1,148.0
8366,1,2,9,27.0
5628,6,3,6,3.0
9413,4,3,9,3.0
6473,5,2,7,2.0
7711,4,1,2,47.0
7520,4,3,3,9.0
2538,1,3,2,11.0
1747,4,1,1,166.0
3890,5,3,1,140.0
972,4,2,9,34.0
6329,5,2,10,15.0
8814,3,2,2,75.0
3374,4,2,0,
8097,5,3,3,166.0
2130,5,2,8,15.0
4702,2,3,1,166.0
5352,5,1,6,9.0
3682,1,1,2,87.0
8841,3,3,0,
7541,5,2,6,1.0
7985,2,2,1,144.0
3133,5,3,5,15.0
4948,1,3,0,
8624,4,3,10,0.0
524,5,2,9,6.0
7372,6,1,0,
3311,4,2,3,52.0
312,1,2,2,107.0
5511,4,2,7,22.0
4959,3,3,8,14.0
862,2,1,5,32.0
9018,4,2,9,11.0
8362,2,3,9,3.0
1185,6,1,3,122.0
7566,4,2,7,16.0
6723,2,3,2,41.0
8359,3,1,8,13.0
4587,2,2,1,22.0
9282,6,1,6,3.0
2906,3,2,3,28.0
488,3,3,10,9.0
6210,2,2,8,12.0
2255,5,1,9,0.0
4548,4,3,0,
6818,5,2,4,9.0
5163,6,2,3,13.0
4705,4,1,9,0.0
1101,1,1,9,10.0
360,4,1,7,4.0
1770,1,3,10,26.0
7388,4,2,10,6.0
99,6,1,6,71.0
7486,2,3,6,31.0
3688,2,2,0,
9924,1,3,5,17.0
8407,3,3,4,77.0
4194,1,2,0,
9626,3,2,7,10.0
3499,1,1,8,9.0
7105,3,3,5,59.0
5049,2,3,7,17.0
8766,2,1,4,6.0
442,3,3,6,22.0
2254,5,2,9,29.0
1238,2,1,1,48.0
12,1,3,0,
9536,5,3,1,79.0
8522,4,1,4,10.0
8890,4,1,8,2.0
8453,2,2,6,56.0
6024,2,2,7,10.0
7108,6,2,8,2.0
9673,3,3,0,
4082,6,3,3,24.0
6756,4,1,10,1.0
2486,4,3,10,26.0
8943,2,2,7,27.0
8400,2,3,5,8.0
8854,6,2,9,29.0
2477,5,3,9,9.0
3495,1,2,3,29.0
264,6,3,7,69.0
5961,6,1,3,1.0
8729,6,2,9,3.0
9386,4,1,7,23.0
4151,5,1,1,88.0
384,4,2,9,56.0
4433,4,1,1,112.0
5100,1,1,2,15.0
7453,6,1,7,4.0
7313,3,3,3,66.0
8936,5,1,5,87.0
6285,4,3,7,22.0
9334,1,2,0,
5291,1,3,2,45.0
4668,2,2,8,12.0
7982,6,2,1,1.0
7479,2,1,8,5.0
9940,4,2,10,10.0
826,4,1,0,
9506,6,3,9,32.0
4897,3,2,7,35.0
3505,3,1,0,
4574,5,3,1,128.0
4995,4,1,10,18.0
4581,3,2,9,30.0
8314,6,3,1,42.0
5322,3,1,0,
6975,4,3,6,12.0
8172,2,1,1,10.0
4725,6,2,9,1.0
1564,3,1,4,20.0
2126,6,1,6,28.0
6921,1,2,4,16.0
6228,1,3,7,14.0
3987,6,2,8,7.0
1579,2,1,2,104.0
768,1,2,4,34.0
838,3,1,10,19.0
9844,3,2,8,12.0
7421,4,1,10,28.0
6575,2,2,0,
9041,3,1,2,88.0
8213,2,1,3,110.0
2292,6,1,4,66.0
2089,1,2,8,0.0
7565,6,1,8,21.0
1928,1,1,2,74.0
3686,3,2,0,
6188,3,2,0,
88,5,3,4,0.0
5790,4,3,5,5.0
188,1,2,9,15.0
1467,3,3,4,95.0
4232,3,2,4,5.0
2155,5,1,8,28.0
8474,3,3,0,
2792,3,2,10,11.0
6612,6,2,9,41.0
3549,5,2,10,24.0
5301,4,2,1,172.0
703,4,1,4,1.0
1161,6,3,0,
2413,1,3,7,7.0
8792,2,1,3,13.0
2428,4,3,0,
7692,4,1,9,25.0
5994,4,1,4,49.0
7545,1,2,9,3.0
9177,2,3,7,1.0
6447,4,2,6,7.0
7898,5,3,5,20.0
2455,1,1,8,5.0
2153,3,1,8,2.0
5,3,1,8,27.0
4396,1,2,0,
6339,2,1,10,22.0
5504,5,2,10,16.0
1165,2,1,6,12.0
3406,6,1,0,
3753,5,1,6,7.0
6070,3,2,0,
8720,2,3,5,68.0
9571,4,3,8,52.0
1429,5,1,0,
807,6,3,8,3.0
6208,4,2,7,10.0
6616,4,3,0,
2971,3,1,0,
5991,1,2,9,38.0
8044,4,3,10,32.0
2227,1,2,7,7.0
7274,3,1,2,55.0
4607,4,3,8,9.0
2865,1,2,10,24.0
8350,4,2,5,55.0
444,2,2,7,16.0
537,6,3,1,86.0
6028,3,3,6,12.0
4106,2,1,3,3.0
6233,6,1,4,102.0
7798,5,1,2,99.0
9584,4,2,0,
2534,5,2,7,6.0
9202,1,2,9,2.0
4516,2,1,0,
3876,5,1,0,
9142,6,3,0,
4245,3,2,10,22.0
2695,3,1,5,47.0
9549,2,2,1,117.0
6726,3,3,6,1.0
6648,4,1,8,13.0
5898,2,3,6,52.0
2078,5,1,4,19.0
9110,2,3,9,14.0
9761,3,1,2,105.0
3861,6,1,6,10.0
6721,6,1,0,
8486,2,3,10,11.0
6249,1,1,7,35.0
369,4,3,3,28.0
8264,2,2,7,16.0
9083,1,3,10,10.0
3783,2,1,1,84.0
3632,5,1,5,37.0
2010,6,1,3,24.0
8568,2,1,0,
7010,2,3,5,23.0
5257,1,1,9,15.0
5607,5,3,6,65.0
2986,2,2,7,8.0
8352,3,3,7,8.0
7023,5,2,10,6.0
7487,4,3,7,22.0
9808,5,1,10,21.0
8663,4,3,5,1.0
7399,2,3,6,58.0
6151,3,3,7,38.0
8819,1,3,10,12.0
8661,6,3,6,62.0
1663,5,1,0,
78,6,3,9,12.0
573,6,2,0,
8455,4,1,3,89.0
7104,2,3,6,45.0
3792,3,1,10,14.0
2816,1,2,5,34.0
2007,3,3,0,
5903,4,3,1,42.0
2199,4,2,3,140.0
852,2,1,4,21.0
9754,5,1,10,25.0
611,3,2,9,1.0
3772,2,3,3,133.0
2354,6,1,3,14.0
5801,5,3,8,25.0
2175,3,2,1,136.0
9624,2,1,10,1.0
9738,1,3,2,35.0
4292,3,1,7,22.0
5082,1,3,8,12.0
9357,6,3,3,15.0
4924,6,1,8,6.0
1693,1,3,6,35.0
8815,3,3,10,17.0
6601,6,3,10,43.0
3331,6,2,7,29.0
6328,2,2,2,143.0
448,6,3,1,10.0
5613,3,3,9,26.0
9715,6,1,8,2.0
7613,5,2,8,14.0
4231,3,1,4,92.0
701,6,2,3,74.0
7102,5,2,6,20.0
9634,4,3,2,28.0
9592,4,3,4,16.0
6652,1,3,7,3.0
7291,4,2,2,137.0
6503,2,2,0,
8505,3,2,5,6.0
3956,2,3,10,6.0
6844,1,2,0,
8554,2,1,2,60.0
9984,5,2,5,35.0
8600,1,3,10,16.0
9344,1,3,10,2.0
9360,6,2,8,3.0
3654,6,1,1,148.0
6395,5,1,8,3.0
1886,2,2,10,30.0
7988,6,1,6,10.0
5572,3,1,4,4.0
289,6,2,4,87.0
5779,4,2,7,5.0
5446,3,2,0,
9480,3,3,3,22.0
6743,1,1,9,0.0
3000,6,1,9,19.0
5964,1,3,0,
1400,5,2,2,84.0
8238,5,1,10,3.0
9588,4,3,0,
3543,2,2,8,9.0
4024,3,1,1,117.0
8803,6,1,0,
2963,6,1,10,28.0
5863,2,3,2,0.0
4998,4,3,3,8.0
9633,6,1,7,31.0
2067,4,3,1,138.0
9448,3,3,6,11.0
7316,6,2,9,30.0
6236,2,1,7,11.0
1941,5,1,8,13.0
8469,1,2,0,
5215,3,1,8,2.0
3019,3,2,9,3.0
6269,2,2,8,27.0
1470,3,3,10,5.0
2278,1,1,10,26.0
535,5,2,8,22.0
4335,4,1,0,
1159,6,3,0,
5040,1,2,10,15.0
4301,5,2,5,47.0
2117,3,3,9,2.0
4826,1,2,0,
3672,3,3,1,66.0
3056,3,1,8,8.0
3409,4,2,2,57.0
2698,2,1,5,133.0
725,4,1,9,9.0
3117,1,3,7,10.0
4107,5,3,9,0.0
9100,5,3,5,12.0
832,1,1,10,2.0
8552,6,3,2,84.0
5309,3,3,8,49.0
7739,1,3,7,2.0
3751,1,2,0,
3847,5,1,0,
6136,3,3,2,21.0
6685,6,1,10,33.0
4615,3,1,0,
9631,6,2,10,15.0
4350,2,1,1,157.0
5536,3,3,0,
2242,3,2,1,155.0
2024,1,3,9,14.0
8691,4,2,1,29.0
4636,2,3,6,30.0
5179,1,3,0,
3441,2,1,1,72.0
9244,6,3,3,78.0
1305,1,1,6,14.0
2679,6,1,5,121.0
4420,2,1,9,5.0
2699,6,2,8,17.0
8976,5,3,6,38.0
7501,6,1,1,71.0
7122,6,1,10,11.0
3192,1,2,2,139.0
7695,3,2,5,20.0
5386,4,2,3,16.0
8832,4,2,9,11.0
7235,2,1,4,18.0
7852,3,2,5,2.0
1869,6,1,5,1.0
9464,1,1,1,62.0
4363,2,1,2,38.0
4222,4,3,0,
2050,2,1,2,99.0
1293,6,2,6,34.0
3766,4,1,10,3.0
2133,2,2,3,1.0
3079,4,2,0,
6467,2,2,3,23.0
3269,6,1,4,11.0
158,4,2,6,1.0
5413,6,2,0,
7670,2,1,9,9.0
5213,6,3,10,13.0
6463,4,2,2,82.0
3796,2,1,9,0.0
8805,1,2,4,6.0
5596,2,1,9,10.0
2305,4,1,6,16.0
9314,4,2,8,2.0
4658,3,2,0,
6597,5,2,3,8.0
4444,1,1,5,8.0
8387,2,1,4,45.0
3596,1,3,2,64.0
5710,3,2,0,
4262,6,2,9,5.0
8438,1,3,2,67.0
6441,2,1,7,24.0
2120,6,2,10,19.0
8745,3,3,10,10.0
1667,4,1,8,37.0
3669,5,3,5,11.0
308,1,3,4,54.0
7583,6,3,8,0.0
8203,3,2,3,38.0
2852,3,1,0,
6567,5,2,5,32.0
3781,2,2,1,20.0
614,2,3,1,45.0
6584,3,2,7,9.0
1607,3,2,10,30.0
9452,5,2,3,9.0
7199,6,2,5,10.0
6404,6,2,8,5.0
5191,5,1,7,1.0
3929,1,3,7,18.0
9014,1,1,5,6.0
3823,1,3,5,25.0
4272,1,2,9,6.0
2148,6,2,9,2.0
6382,1,1,7,5.0
5872,3,2,0,
9980,4,2,3,105.0
1752,1,3,4,12.0
846,1,3,8,4.0
7390,4,2,2,52.0
9395,4,1,6,40.0
6398,5,1,8,4.0
5043,3,3,7,26.0
9654,6,3,4,14.0
3455,3,3,4,27.0
1554,3,1,5,43.0
4299,5,1,10,2.0
9297,5,3,1,66.0
2606,5,1,3,37.0
3239,3,3,9,4.0
1509,1,2,0,
6033,1,1,1,109.0
2075,2,1,1,23.0
8902,5,1,4,79.0
4798,1,2,6,5.0
6290,4,2,2,55.0
849,3,1,7,14.0
8974,1,2,4,43.0
4849,5,1,7,55.0
9188,2,2,4,34.0
9298,6,3,6,5.0
9154,1,3,5,67.0
1905,5,1,8,11.0
7858,2,3,4,5.0
1698,4,3,6,14.0
919,2,2,9,25.0
7680,1,1,0,
4347,6,3,6,18.0
6874,4,2,9,8.0
1673,4,1,10,37.0
7241,2,2,4,68.0
6184,4,1,9,18.0
7335,6,1,6,13.0
8919,3,3,10,18.0
2215,3,1,0,
5751,6,2,7,29.0
2403,6,1,4,46.0
1728,6,1,10,48.0
7775,2,2,0,
5547,2,1,8,1.0
3743,5,1,7,22.0
8023,2,1,0,
9969,3,1,0,
5780,5,1,0,
5363,6,2,4,21.0
7599,5,2,10,11.0
5423,1,3,7,2.0
2592,6,2,2,56.0
3191,3,2,0,
6408,1,3,9,25.0
9694,1,1,4,66.0
2756,2,1,8,59.0
766,2,1,0,
9332,3,2,2,26.0
1978,5,2,6,3.0
1789,3,2,5,50.0
2065,1,3,2,93.0
8135,1,3,0,
9471,4,1,0,
4480,2,1,4,53.0
8220,5,3,1,145.0
3849,2,2,0,
5451,2,1,2,113.0
9146,5,3,5,16.0
9112,3,1,3,26.0
9590,4,2,3,42.0
3941,6,3,1,1.0
29,5,2,6,2.0
8144,6,2,4,16.0
4,6,1,4,40.0
844,4,3,0,
9913,2,3,7,9.0
7323,2,2,10,2.0
8721,2,3,2,46.0
4915,1,2,6,65.0
6146,2,2,4,24.0
6040,4,1,10,1.0
6,2,3,6,29.0
6884,2,3,8,11.0
1551,1,1,2,16.0
2628,5,1,10,9.0
1148,4,3,8,17.0
4123,4,2,9,28.0
1979,6,1,3,36.0
1650,4,3,6,18.0
6628,5,1,6,78.0
3940,5,2,7,30.0
3501,3,3,9,6.0
5718,4,1,2,42.0
8077,3,1,2,96.0
4079,4,2,3,1.0
6896,6,1,9,7.0
458,1,3,3,3.0
9138,2,1,3,55.0
6706,5,3,7,0.0
8272,4,3,9,66.0
1970,4,2,7,19.0
368,4,2,4,64.0
3364,6,2,5,3.0
5992,3,2,4,7.0
1850,3,3,1,35.0
4369,4,1,4,11.0
5298,4,1,10,2.0
3050,3,3,4,44.0
2470,4,1,1,94.0
2023,1,2,6,39.0
6978,3,2,1,70.0
2167,3,1,9,29.0
2998,2,3,1,157.0
5437,6,2,0,
872,3,1,8,56.0
9822,2,2,5,30.0
5919,3,1,3,25.0
3058,6,2,0,
5405,6,2,1,80.0
4531,6,3,2,104.0
1054,6,3,10,5.0
6645,2,2,0,
7986,5,3,9,7.0
3461,6,3,7,24.0
1965,2,2,8,19.0
6658,6,2,9,76.0
5577,5,3,3,30.0
1005,2,3,8,17.0
5211,1,1,10,20.0
3009,3,1,7,38.0
217,2,2,9,2.0
7722,6,1,5,78.0
9415,6,3,4,17.0
3678,5,2,6,32.0
9961,6,2,10,0.0
8698,6,1,5,17.0
6036,6,3,4,78.0
5184,6,2,5,37.0
7556,2,3,9,7.0
3248,4,1,6,55.0
7014,4,3,7,43.0
2877,1,3,8,13.0
8252,6,1,0,
4714,6,1,8,26.0
9420,4,1,5,33.0
1601,3,1,7,42.0
2092,1,1,7,19.0
6279,5,1,3,90.0
5624,2,2,8,13.0
5846,1,1,4,21.0
6126,1,3,3,65.0
4068,1,3,0,
9439,4,1,8,24.0
4732,3,3,6,29.0
1712,4,1,6,42.0
9657,3,3,5,56.0
1654,2,1,3,9.0
6574,4,1,6,13.0
1991,6,3,8,12.0
1889,2,2,8,0.0
8354,3,2,9,14.0
3906,6,1,2,59.0
4717,5,2,1,179.0
4137,3,2,1,35.0
3481,1,2,6,2.0
5506,5,1,1,32.0
2190,4,3,10,28.0
7254,3,1,1,34.0
4588,5,3,5,8.0
8614,4,3,0,
2344,5,3,4,20.0
6366,4,3,3,8.0
4229,5,3,0,
4010,2,2,9,20.0
762,4,2,9,0.0
6897,4,2,7,12.0
1063,1,1,8,15.0
5385,1,1,9,25.0
69,5,3,5,22.0
8304,3,1,6,18.0
7657,4,1,6,48.0
6147,2,2,9,17.0
6488,5,3,6,14.0
3587,3,2,9,13.0
9059,1,2,0,
4268,4,3,9,1.0
8680,6,3,0,
6886,6,2,2,120.0
4060,5,3,3,42.0
8012,5,1,7,50.0
6693,2,1,5,1.0
1445,1,1,2,10.0
3701,3,2,10,2.0
1141,5,1,2,94.0
659,4,2,0,
7060,2,1,7,29.0
9493,5,3,2,119.0
6609,6,1,1,132.0
5509,1,1,4,12.0
2238,5,2,2,55.0
2233,2,1,5,45.0
279,2,2,7,37.0
4806,6,1,5,32.0
1480,2,2,9,28.0
7717,2,3,4,62.0
4926,1,3,4,34.0
8802,1,2,6,3.0
8694,6,1,8,22.0
8887,1,1,5,39.0
7553,5,2,2,46.0
7179,5,1,10,17.0
6847,2,3,9,15.0
566,6,1,10,35.0
8365,6,2,7,7.0
9707,1,3,0,
592,4,2,7,38.0
7585,3,3,9,27.0
4113,6,1,0,
8104,4,1,9,7.0
9358,3,1,6,21.0
8928,6,1,5,12.0
4438,3,2,9,27.0
4334,2,2,3,81.0
9234,4,1,1,146.0
1640,4,3,4,37.0
1520,3,3,9,10.0
8681,4,1,9,3.0
4285,6,3,10,1.0
927,5,2,4,97.0
8002,3,2,3,31.0
3315,3,2,3,61.0
2519,2,1,7,15.0
5403,1,1,9,3.0
6627,3,1,1,15.0
5282,2,1,7,11.0
1732,6,1,10,2.0
1233,2,1,2,1.0
165,3,2,10,22.0
2266,6,2,4,5.0
2162,2,1,7,16.0
56,2,3,6,26.0
6393,1,1,3,9.0
4745,4,3,8,9.0
8257,4,3,3,9.0
3226,3,2,6,21.0
3059,4,3,9,3.0
4118,1,3,1,172.0
7743,3,1,10,34.0
6478,5,2,2,44.0
4759,1,1,7,8.0
9956,4,3,0,
245,6,1,6,46.0
2615,5,2,5,6.0
6313,1,3,4,11.0
3016,5,1,10,6.0
2670,3,3,6,1.0
1807,2,2,8,2.0
1017,5,1,0,
484,3,1,0,
8917,1,1,10,52.0
8912,3,2,1,101.0
3558,4,2,8,6.0
144,1,1,6,76.0
1885,5,1,0,
7981,1,1,5,33.0
5923,3,1,2,89.0
5073,2,2,4,81.0
1754,4,3,8,82.0
1224,6,1,9,42.0
168,2,1,8,0.0
4280,3,1,10,7.0
3222,2,2,5,4.0
1930,6,3,6,0.0
5286,6,2,8,13.0
9021,4,1,10,26.0
7532,3,2,7,31.0
4938,5,3,1,131.0
5699,3,1,3,17.0
7444,4,2,6,7.0
5199,2,3,10,3.0
5737,2,3,0,
8221,1,1,3,80.0
8042,4,1,4,4.0
2497,3,3,8,4.0
4534,3,1,6,20.0
3084,6,3,9,18.0
6397,1,2,8,35.0
8477,6,1,4,49.0
1859,2,1,9,2.0
7804,1,1,2,87.0
6355,6,2,10,20.0
2729,6,3,7,2.0
4121,3,1,0,
7095,3,3,1,73.0
3414,3,3,9,3.0
7967,5,1,5,24.0
7675,2,2,10,7.0
9577,1,3,7,11.0
5575,1,1,10,17.0
4939,6,1,7,35.0
3763,6,1,3,67.0
2718,6,2,0,
1035,5,3,7,36.0
9934,1,3,2,24.0
5835,1,1,5,1.0
3361,4,1,7,3.0
9128,5,2,9,27.0
4220,1,2,9,14.0
3184,5,1,10,2.0
4293,2,3,6,0.0
247,2,1,0,
8590,6,3,3,111.0
4560,6,1,5,47.0
7648,6,2,4,43.0
1182,4,1,8,4.0
8004,2,3,0,
9981,4,1,10,39.0
5726,5,1,10,10.0
411,3,1,8,51.0
2186,3,1,5,4.0
3267,2,3,6,25.0
4972,5,2,0,
5667,5,3,8,49.0
4779,2,2,1,113.0
3387,3,3,9,40.0
1454,4,1,7,32.0
316,3,3,7,25.0
3065,4,1,1,17.0
7625,2,3,4,43.0
256,5,2,1,79.0
7926,1,2,5,23.0
7525,5,1,0,
9767,2,2,0,
8106,1,3,5,59.0
3145,2,2,7,41.0
6351,4,1,4,51.0
5491,4,1,5,47.0
4415,5,1,2,110.0
5535,4,1,0,
7558,4,1,2,83.0
8759,6,2,6,45.0
3148,2,1,2,28.0
5977,1,1,10,0.0
3502,4,3,3,25.0
1526,3,3,10,14.0
5459,2,3,9,8.0
3850,2,3,2,11.0
3106,2,2,0,
2253,4,3,4,27.0
4757,4,3,0,
7084,5,3,3,13.0
4994,3,1,5,15.0
1541,5,2,3,19.0
1531,3,2,0,
5274,1,3,3,58.0
3797,5,2,0,
4014,5,1,0,
8082,6,3,9,18.0
5458,5,1,4,13.0
2607,4,1,2,173.0
1671,4,2,3,100.0
9811,1,1,3,11.0
1274,3,2,0,
6683,6,2,3,87.0
426,4,1,10,7.0
7055,6,1,8,60.0
4441,5,3,9,8.0
2822,4,3,7,31.0
8785,4,2,0,
6181,2,3,0,
8935,2,1,0,
6793,1,1,3,11.0
971,4,2,4,18.0
2342,4,1,6,7.0
1759,1,1,1,63.0
1707,4,2,8,11.0
941,2,3,0,
5392,1,1,0,
2761,2,1,6,8.0
6885,2,1,10,55.0
2433,3,1,0,
7082,3,3,3,51.0
9245,4,2,5,1.0
135,3,2,2,22.0
4752,1,2,4,45.0
5137,4,3,7,22.0
2795,6,2,9,2.0
1169,6,2,4,0.0
1138,5,2,1,34.0
4724,6,3,4,0.0
9935,4,2,1,16.0
2418,4,2,5,54.0
7343,2,2,0,
1688,2,2,10,1.0
2495,4,3,9,41.0
9104,6,2,9,22.0
5764,5,1,7,8.0
2946,1,3,4,2.0
755,2,1,9,10.0
8410,3,1,9,2.0
1031,4,1,10,40.0
1670,2,2,10,6.0
4236,5,1,3,12.0
15,6,2,6,2.0
3914,6,1,10,39.0
859,4,1,7,30.0
842,6,3,6,12.0
6000,1,2,7,9.0
2062,6,1,0,
5210,2,1,7,16.0
5552,5,2,4,7.0
1192,5,2,3,1.0
9775,3,2,9,0.0
2206,1,1,3,59.0
5989,1,2,9,36.0
1124,3,2,8,45.0
5119,5,3,1,25.0
1738,3,3,0,
8465,3,1,6,29.0
7026,1,2,2,53.0
1243,3,2,9,27.0
7267,3,2,10,1.0
6707,4,3,6,4.0
6069,4,3,10,8.0
9745,2,2,10,8.0
9641,6,3,1,100.0
960,5,3,8,62.0
7012,3,2,1,176.0
1516,4,1,9,7.0
4495,2,2,2,25.0
9383,3,1,9,3.0
5136,3,1,10,23.0
2464,3,2,4,26.0
3802,1,1,5,15.0
8154,5,1,0,
8529,3,1,2,78.0
2008,1,1,4,104.0
5143,1,2,1,94.0
8836,1,2,0,
9556,3,1,6,0.0
6209,4,2,8,7.0
7756,2,2,4,1.0
3831,2,2,9,8.0
6303,2,1,10,8.0
7480,5,3,8,2.0
804,2,2,7,2.0
8853,2,3,9,25.0
2047,3,2,6,7.0
9318,2,3,0,
7677,2,3,2,67.0
9498,3,1,2,105.0
5086,6,3,0,
8225,5,3,7,5.0
1636,1,3,4,38.0
1882,1,3,7,27.0
9474,5,1,6,0.0
7344,5,1,2,166.0
2262,2,1,7,35.0
4895,2,2,0,
2405,1,3,5,45.0
372,3,2,3,148.0
339,1,2,2,71.0
2647,4,1,9,43.0
8283,1,2,5,40.0
6323,1,2,1,39.0
3279,2,1,5,40.0
591,5,1,6,11.0
808,6,3,5,7.0
7572,4,1,9,11.0
7865,6,1,3,112.0
8747,1,3,1,69.0
8184,4,3,5,73.0
9794,6,3,3,115.0
5753,4,3,8,13.0
8376,5,3,9,9.0
5635,2,2,2,71.0
8471,4,3,7,21.0
4562,2,3,1,167.0
1399,3,3,5,3.0
20,6,2,7,13.0
1341,3,1,10,54.0
8048,5,3,6,24.0
9557,3,1,6,17.0
1074,4,1,5,47.0
4866,1,1,7,6.0
1999,1,3,4,75.0
7920,3,2,4,68.0
5023,6,1,5,6.0
2482,4,3,10,14.0
6311,1,3,9,28.0
4623,6,2,5,28.0
6542,3,1,1,89.0
3468,5,3,4,3.0
8460,1,3,1,94.0
8412,6,2,4,12.0
3297,5,2,0,
9786,4,3,10,4.0
6963,5,2,3,34.0
6599,4,3,3,10.0
